STATE,COUNTY_x,FIPS,pctile_pm25,pctile_diesel,pctile_traffic,SVI,E_TOTPOP,EPL_POV200,EPL_OZONE,EPL_PM,EPL_DSLPM,EPL_TOTCR,EPL_NPL,EPL_TRI,EPL_TSD,E_PARK,EPL_ROAD,EPL_IMPWTR,EPL_NEHD,EPL_SMOKE,EPL_CFLD,EPL_DRGT,EPL_HRCN,EPL_RFLD,EPL_SWND,EPL_TRND,Tribe_PCT_Tract,P_PM25,P_OZONE,P_DSLPM,P_RSEI_AIR,P_PTRAF,P_PTSDF,T_UNEMPPCT,T_D5_RSEI_AIR,T_D5_PWDIS
Georgia,Appling County,13001950100,14,3,6,0.6326,3628,0.8136,0.0,0.5886,0.0819,0.4976,0.0,0.0,0.0,35.6028,0.1675,0.2156,0.4746,0.1039,0.0,0.6267,0.9243,0.0526,0.3511,0.0,0.0,63.0,2.0,5.0,26.0,4.0,0.0,18 %ile,37 %ile,38 %ile
Georgia,Appling County,13001950201,16,7,9,0.4667,2392,0.774,0.0,0.0,0.1018,0.4976,0.0,0.3479,0.0,1.8321,0.202,0.2286,0.491,0.0631,0.0,0.6448,0.9249,0.0526,0.3513,0.0,0.0,62.0,2.0,6.0,35.0,8.0,0.0,35 %ile,55 %ile,26 %ile
Georgia,Appling County,13001950202,16,7,41,0.887,2361,0.9459,0.0,0.0,0.1018,0.4976,0.0,0.5351,0.0,20.6832,0.4028,0.0,0.5373,0.0599,0.0,0.6448,0.9236,0.0526,0.3488,0.5198,0.0,63.0,2.0,11.0,54.0,15.0,0.0,70 %ile,83 %ile,29 %ile
Georgia,Appling County,13001950301,16,12,40,0.6801,2716,0.865,0.0,0.0,0.1486,0.4976,0.0,0.555,0.0,17.813,0.3422,0.0,0.5066,0.0584,0.0,0.6475,0.9249,0.0526,0.3513,0.7114,0.0,61.0,2.0,13.0,65.0,15.0,0.0,51 %ile,84 %ile,39 %ile
Georgia,Appling County,13001950302,16,12,43,0.842,1759,0.9588,0.0,0.0,0.1486,0.4976,0.0,0.4987,0.0,35.0402,0.3651,0.0,0.5251,0.0615,0.0,0.6448,0.9242,0.0526,0.3508,0.5198,0.0,62.0,2.0,12.0,55.0,15.0,0.0,75 %ile,83 %ile,33 %ile
Georgia,Appling County,13001950400,11,4,8,0.5689,1719,0.7095,0.0,0.5886,0.0846,0.4976,0.0,0.3088,0.0,0.0,0.1889,0.3545,0.4746,0.0753,0.0,0.652,0.9309,0.0526,0.3512,0.7114,0.0,56.0,2.0,5.0,31.0,4.0,0.0,10 %ile,38 %ile,22 %ile
Georgia,Appling County,13001950500,14,3,6,0.8014,3866,0.9143,0.0,0.5886,0.0763,0.4976,0.0,0.0,0.0,0.0005,0.19,0.2825,0.5066,0.067,0.0,0.6497,0.918,0.0526,0.3388,0.8922,0.0,60.0,2.0,5.0,30.0,5.0,0.0,16 %ile,50 %ile,29 %ile
Georgia,Atkinson County,13003960100,14,4,25,0.7085,2110,0.9028,0.0,0.5886,0.0846,0.4976,0.0,0.4823,0.0,27.4409,0.2009,0.3181,0.2483,0.0991,0.0,0.673,0.9358,0.0184,0.3214,0.8557,0.0,60.0,10.0,5.0,50.0,5.0,0.0,17 %ile,79 %ile,82 %ile
Georgia,Atkinson County,13003960200,10,5,27,0.9622,4572,0.9069,0.0,0.5886,0.0814,0.4976,0.0,0.3928,0.0,2.8591,0.2799,0.2048,0.2129,0.1097,0.0,0.6426,0.9366,0.0184,0.3083,0.9182,0.0,53.0,7.0,5.0,45.0,8.0,16.0,69 %ile,76 %ile,61 %ile
Georgia,Atkinson County,13003960300,7,2,13,0.6448,1583,0.8503,0.0,0.5886,0.075,0.4976,0.0,0.0,0.0,3.7615,0.1871,0.2569,0.2579,0.0753,0.0,0.6233,0.9366,0.0184,0.3083,0.0,0.0,48.0,6.0,5.0,42.0,4.0,0.0,17 %ile,66 %ile,40 %ile
Georgia,Bacon County,13005970100,11,4,5,0.2598,2510,0.4462,0.0,0.0,0.0853,0.4976,0.0,0.3415,0.0,1.2134,0.2487,0.4052,0.3981,0.0824,0.0,0.652,0.931,0.0301,0.3378,0.8014,0.0,55.0,3.0,6.0,31.0,4.0,0.0,0 %ile,50 %ile,16 %ile
Georgia,Bacon County,13005970201,12,6,28,0.8971,4623,0.8526,0.0,0.5886,0.0939,0.4976,0.0,0.4662,0.0,4.671,0.2059,0.5235,0.3274,0.0631,0.0,0.6328,0.8822,0.0301,0.3103,0.0,0.0,57.0,3.0,11.0,37.0,10.0,0.0,76 %ile,59 %ile,12 %ile
Georgia,Bacon County,13005970202,10,9,25,0.8849,4005,0.9009,0.0,0.5886,0.1174,0.4976,0.0,0.4769,0.0,3.8297,0.2937,0.4109,0.3122,0.067,0.0,0.6401,0.9511,0.0301,0.3085,0.7114,0.0,53.0,3.0,10.0,35.0,9.0,0.0,33 %ile,65 %ile,14 %ile
Georgia,Baker County,13007960100,29,1,0,0.8222,1854,0.9537,0.0,0.5886,0.061,0.4976,0.0,0.2997,0.0,51.4653,0.093,0.2858,0.1146,0.3258,0.0,0.8127,0.8402,0.0301,0.4018,0.8922,0.0,80.0,21.0,4.0,5.0,2.0,13.0,76 %ile,7 %ile,31 %ile
Georgia,Baker County,13007960200,23,0,0,0.7452,1024,0.9315,0.0,0.5886,0.0574,0.4976,0.0,0.0,0.4567,45.5964,0.0,0.2653,0.1085,0.3111,0.0,0.8368,0.8437,0.0301,0.4233,0.8557,0.0,78.0,19.0,3.0,8.0,0.0,0.0,98 %ile,13 %ile,25 %ile
Georgia,Baldwin County,13009970101,37,11,8,0.4505,2406,0.1512,0.0,0.7228,0.137,0.9248,0.0,0.3083,0.0,8.4373,0.3681,0.1407,0.2978,0.18,0.0,0.843,0.5063,0.0526,0.4478,0.0,0.0,63.0,7.0,10.0,4.0,11.0,16.0,0 %ile,4 %ile,73 %ile
Georgia,Baldwin County,13009970102,37,11,3,0.3354,2989,0.4837,0.0,0.7498,0.1406,0.9248,0.0,0.0,0.0,4.8193,0.2157,0.1683,0.2978,0.2301,0.0,0.8584,0.5063,0.0526,0.4478,0.0,0.0,61.0,10.0,10.0,9.0,11.0,18.0,14 %ile,11 %ile,77 %ile
Georgia,Baldwin County,13009970201,40,17,59,0.8492,3376,0.8395,0.0,0.7228,0.1659,0.9248,0.0,0.0,0.0,25.3894,0.1857,0.2267,0.2686,0.1638,0.0,0.8544,0.5063,0.0526,0.4478,0.0,0.0,61.0,12.0,14.0,4.0,23.0,24.0,63 %ile,5 %ile,83 %ile
Georgia,Baldwin County,13009970202,40,17,13,0.6513,3367,0.5151,0.0,0.7228,0.1954,0.9248,0.0,0.3644,0.0,0.0,0.3122,0.0,0.2686,0.1638,0.0,0.8584,0.5206,0.0526,0.4242,0.0,0.0,59.0,13.0,16.0,29.0,12.0,20.0,63 %ile,35 %ile,79 %ile
Georgia,Baldwin County,13009970301,41,24,8,0.2724,2740,0.1833,0.0,0.7228,0.2648,0.9248,0.0,0.3779,0.0,9.6022,0.2007,0.1273,0.2579,0.189,0.0,0.8584,0.5386,0.0526,0.3186,0.0,0.0,58.0,16.0,14.0,39.0,9.0,18.0,88 %ile,40 %ile,75 %ile
Georgia,Baldwin County,13009970302,41,24,47,0.435,3403,0.4608,0.0,0.7498,0.3299,0.9248,0.0,0.5037,0.5284,15.7245,0.4155,0.2092,0.2686,0.1991,0.0,0.8559,0.5221,0.0526,0.404,0.0,0.0,60.0,13.0,22.0,11.0,20.0,32.0,39 %ile,12 %ile,71 %ile
Georgia,Baldwin County,13009970400,41,34,73,0.3516,3664,0.5544,0.0,0.7498,0.2931,0.9248,0.0,0.6204,0.6292,90.0606,0.4972,0.2745,0.2686,0.1551,0.0,0.8356,0.5063,0.0526,0.4478,0.0,0.0,61.0,12.0,25.0,6.0,30.0,31.0,28 %ile,7 %ile,78 %ile
Georgia,Baldwin County,13009970501,39,16,74,0.8661,3860,0.9973,0.0,0.7228,0.1866,0.9248,0.0,0.6466,0.6704,96.2486,0.6136,0.2514,0.2686,0.1638,0.0,0.8356,0.5063,0.0526,0.4478,0.0,0.0,61.0,12.0,31.0,13.0,31.0,29.0,91 %ile,24 %ile,91 %ile
Georgia,Baldwin County,13009970502,39,16,14,0.6506,2701,0.813,0.0,0.7228,0.1866,0.9248,0.0,0.4345,0.4739,7.3103,0.2786,0.1586,0.2686,0.2477,0.0,0.8559,0.5381,0.0526,0.3236,0.5198,0.0,58.0,16.0,13.0,33.0,15.0,25.0,77 %ile,48 %ile,87 %ile
Georgia,Baldwin County,13009970600,41,29,28,0.8622,3579,0.9088,0.0,0.7498,0.3302,0.9248,0.0,0.0,0.0,34.7971,0.5178,0.1917,0.2686,0.1723,0.0,0.8341,0.5063,0.0526,0.4478,0.0,0.0,62.0,12.0,24.0,25.0,21.0,23.0,61 %ile,53 %ile,94 %ile
Georgia,Baldwin County,13009970701,41,31,62,0.9831,1763,0.994,0.0,0.7498,0.3507,0.9248,0.0,0.0,0.0,96.4266,0.3206,0.2139,0.2686,0.1551,0.0,0.8316,0.5063,0.0526,0.4478,0.0,0.0,62.0,11.0,27.0,17.0,25.0,22.0,96 %ile,34 %ile,93 %ile
Georgia,Baldwin County,13009970702,40,23,42,0.8147,2275,0.8929,0.0,0.7498,0.2516,0.9248,0.0,0.0,0.0,81.3175,0.1302,0.117,0.2686,0.1723,0.0,0.8316,0.5063,0.0526,0.4478,0.0,0.0,62.0,10.0,17.0,13.0,21.0,21.0,76 %ile,24 %ile,91 %ile
Georgia,Baldwin County,13009970801,42,13,4,0.4073,2761,0.3177,0.0,0.7228,0.1542,0.4976,0.0,0.3191,0.0,0.02,0.2714,0.1407,0.2483,0.3039,0.0,0.8413,0.5381,0.0526,0.3511,0.5198,0.0,62.0,14.0,11.0,36.0,8.0,14.0,64 %ile,45 %ile,66 %ile
Georgia,Baldwin County,13009970802,42,13,13,0.7863,4894,0.6143,0.0,0.7228,0.1542,0.4976,0.0,0.0,0.0,36.7533,0.4056,0.1234,0.2978,0.1991,0.0,0.8385,0.5207,0.0526,0.4237,0.0,0.0,62.0,11.0,12.0,30.0,15.0,19.0,98 %ile,50 %ile,87 %ile
Georgia,Banks County,13011970100,11,18,16,0.5588,4946,0.5707,0.4757,0.0,0.2533,0.4976,0.0,0.314,0.0,52.7348,0.2325,0.2195,0.0499,0.127,0.0,0.8269,0.366,0.0867,0.4994,0.8922,0.0,42.0,24.0,17.0,59.0,12.0,17.0,20 %ile,81 %ile,58 %ile
Georgia,Banks County,13011970200,19,22,8,0.4462,4885,0.5073,0.0,0.0,0.2434,0.4976,0.0,0.4307,0.0,9.6354,0.2351,0.2973,0.0392,0.127,0.0,0.8001,0.4072,0.0867,0.4992,0.8922,0.0,53.0,27.0,23.0,48.0,10.0,13.0,37 %ile,65 %ile,25 %ile
Georgia,Banks County,13011970300,23,26,11,0.281,4527,0.4723,0.4757,0.5886,0.3569,0.4976,0.0,0.3843,0.0,6.1218,0.1208,0.1683,0.0392,0.1097,0.0,0.8127,0.4576,0.0867,0.4885,0.8014,0.0,59.0,29.0,31.0,50.0,12.0,19.0,33 %ile,66 %ile,40 %ile
Georgia,Banks County,13011970400,29,36,22,0.2904,4023,0.5627,0.0,0.0,0.3454,0.4976,0.0,0.436,0.0,0.3059,0.3054,0.1336,0.0392,0.1097,0.0,0.8169,0.4813,0.0867,0.4704,0.5198,0.0,62.0,27.0,41.0,52.0,16.0,19.0,7 %ile,67 %ile,21 %ile
Georgia,Barrow County,13013180103,66,52,47,0.4757,6014,0.4298,0.0,0.0,0.5518,0.9248,0.0,0.3734,0.0,26.1708,0.3085,0.2888,0.0392,0.1172,0.0,0.77,0.367,0.0641,0.4147,0.0,0.0,78.0,38.0,70.0,71.0,28.0,24.0,34 %ile,67 %ile,28 %ile
Georgia,Barrow County,13013180104,73,52,33,0.4332,2611,0.6154,0.0,0.0,0.5543,0.9248,0.0,0.3024,0.4401,81.243,0.0,0.3491,0.0291,0.1172,0.0,0.77,0.367,0.0641,0.4147,0.0,0.0,79.0,41.0,60.0,78.0,25.0,34.0,60 %ile,84 %ile,15 %ile
Georgia,Barrow County,13013180105,68,42,9,0.5732,3041,0.4521,0.0,0.0,0.5351,0.9248,0.0,0.0,0.0,6.099,0.0,0.1595,0.0291,0.1097,0.0,0.77,0.367,0.0641,0.4147,0.0,0.0,78.0,40.0,59.0,72.0,22.0,33.0,12 %ile,78 %ile,15 %ile
Georgia,Barrow County,13013180106,72,46,19,0.6222,2584,0.6469,0.0,0.0,0.5176,0.9248,0.0,0.0,0.0,52.1774,0.0,0.1394,0.0291,0.1172,0.0,0.77,0.367,0.0641,0.4147,0.0,0.0,79.0,41.0,60.0,75.0,24.0,31.0,27 %ile,83 %ile,16 %ile
Georgia,Barrow County,13013180107,69,43,25,0.6819,4212,0.629,0.0,0.0,0.5008,0.9248,0.0,0.6351,0.6786,32.7825,0.0,0.2878,0.0291,0.127,0.0,0.77,0.367,0.0641,0.4147,0.0,0.0,78.0,39.0,57.0,92.0,23.0,52.0,4 %ile,85 %ile,16 %ile
Georgia,Barrow County,13013180108,72,50,28,0.2674,3103,0.3738,0.0,0.0,0.5611,0.9248,0.0,0.4924,0.5714,28.3482,0.3479,0.2351,0.0291,0.1365,0.0,0.7883,0.367,0.0641,0.4147,0.0,0.0,78.0,41.0,58.0,81.0,23.0,43.0,85 %ile,81 %ile,15 %ile
Georgia,Barrow County,13013180203,66,47,36,0.8392,3201,0.9032,0.0,0.0,0.5459,0.9248,0.0,0.8289,0.5719,70.1635,0.5885,0.1621,0.0338,0.127,0.0,0.7931,0.4067,0.0641,0.4181,0.0,0.0,76.0,37.0,59.0,78.0,25.0,41.0,60 %ile,95 %ile,27 %ile
Georgia,Barrow County,13013180204,67,48,70,0.7805,3141,0.7201,0.0,0.0,0.5535,0.9248,0.0,0.6135,0.0,84.759,0.4087,0.4038,0.0338,0.127,0.0,0.7942,0.367,0.0641,0.4147,0.0,0.0,77.0,37.0,60.0,79.0,29.0,40.0,23 %ile,85 %ile,20 %ile
Georgia,Barrow County,13013180205,68,48,52,0.9118,5394,0.8236,0.0,0.5886,0.5304,0.9248,0.0,0.6803,0.6262,75.9252,0.2705,0.3885,0.0338,0.1365,0.0,0.7883,0.367,0.0641,0.4147,0.0,0.0,77.0,38.0,59.0,82.0,27.0,47.0,47 %ile,89 %ile,20 %ile
Georgia,Barrow County,13013180206,65,48,54,0.2296,3341,0.4608,0.0,0.5886,0.5538,0.9248,0.0,0.6109,0.0,83.1758,0.3673,0.3338,0.0338,0.127,0.0,0.7771,0.367,0.0641,0.4147,0.0,0.0,77.0,37.0,60.0,76.0,27.0,39.0,39 %ile,74 %ile,15 %ile
Georgia,Barrow County,13013180301,64,38,15,0.3868,3262,0.3894,0.0,0.0,0.4357,0.9248,0.0,0.6796,0.6541,3.9393,0.254,0.2433,0.0338,0.127,0.0,0.7918,0.5032,0.0641,0.4507,0.0,0.0,76.0,35.0,52.0,76.0,17.0,42.0,16 %ile,79 %ile,22 %ile
Georgia,Barrow County,13013180302,63,36,29,0.5459,6176,0.5696,0.0,0.5886,0.4174,0.4976,0.0,0.3856,0.0,19.2863,0.191,0.3639,0.0338,0.1365,0.0,0.7872,0.4567,0.0641,0.4331,0.0,0.0,76.0,35.0,55.0,71.0,20.0,35.0,72 %ile,82 %ile,29 %ile
Georgia,Barrow County,13013180303,65,40,23,0.2501,5887,0.4465,0.0,0.0,0.4585,0.9248,0.0,0.3021,0.4395,21.2768,0.0,0.3145,0.0338,0.1465,0.0,0.7678,0.367,0.0641,0.4147,0.0,0.0,77.0,38.0,55.0,74.0,21.0,41.0,19 %ile,70 %ile,19 %ile
Georgia,Barrow County,13013180401,61,35,12,0.1979,6328,0.2199,0.0,0.0,0.4,0.4976,0.0,0.43,0.0,16.3468,0.2661,0.3569,0.0338,0.127,0.0,0.8221,0.5063,0.0641,0.4603,0.0,0.0,74.0,33.0,43.0,70.0,15.0,22.0,11 %ile,70 %ile,24 %ile
Georgia,Barrow County,13013180402,59,35,25,0.5358,6161,0.4378,0.0,0.0,0.3989,0.9248,0.0,0.0,0.0,33.6066,0.2335,0.1978,0.0338,0.1172,0.0,0.8075,0.5063,0.0641,0.4603,0.0,0.0,73.0,32.0,45.0,74.0,19.0,20.0,37 %ile,76 %ile,25 %ile
Georgia,Barrow County,13013180501,71,51,24,0.5193,7956,0.5449,0.0,0.0,0.5919,0.9248,0.0,0.4304,0.4997,54.5416,0.3677,0.2759,0.0291,0.127,0.0,0.7942,0.367,0.0641,0.4147,0.0,0.0,77.0,39.0,60.0,74.0,20.0,37.0,46 %ile,73 %ile,15 %ile
Georgia,Barrow County,13013180502,65,39,19,0.3793,5211,0.5418,0.0,0.5886,0.5018,0.9248,0.0,0.5453,0.0,30.981,0.3349,0.3725,0.0338,0.1172,0.0,0.8185,0.4789,0.0641,0.4452,0.0,0.0,75.0,35.0,51.0,79.0,17.0,31.0,43 %ile,80 %ile,20 %ile
Georgia,Barrow County,13013180503,69,46,21,0.8132,6776,0.8072,0.0,0.5886,0.4925,0.9248,0.0,0.5629,0.0,14.5476,0.3027,0.3824,0.0338,0.1365,0.0,0.8185,0.367,0.0641,0.4147,0.0,0.0,77.0,38.0,57.0,77.0,18.0,32.0,79 %ile,87 %ile,22 %ile
Georgia,Bartow County,13015960101,29,27,5,0.2073,1678,0.5122,0.0,0.0,0.3576,0.4976,0.0,0.4582,0.0,15.8772,0.0,0.1925,0.093,0.1723,0.0,0.7432,0.4172,0.1472,0.5245,0.5198,0.0,50.0,14.0,25.0,51.0,9.0,15.0,28 %ile,53 %ile,10 %ile
Georgia,Bartow County,13015960103,40,36,36,0.1335,3588,0.3203,0.0,0.0,0.6072,0.9248,0.0,0.3452,0.0,67.6444,0.378,0.2156,0.093,0.1551,0.0,0.746,0.4172,0.1472,0.5134,0.5198,0.0,63.0,14.0,42.0,62.0,28.0,31.0,54 %ile,48 %ile,49 %ile
Georgia,Bartow County,13015960104,40,36,10,0.5783,2677,0.4753,0.0,0.0,0.6072,0.9248,0.0,0.5356,0.0,78.6786,0.117,0.1621,0.093,0.1638,0.0,0.746,0.4172,0.1472,0.5047,0.7114,0.0,58.0,13.0,30.0,57.0,15.0,23.0,59 %ile,64 %ile,64 %ile
Georgia,Bartow County,13015960105,40,36,39,0.1321,3870,0.5773,0.0,0.0,0.6072,0.9248,0.0,0.3604,0.5522,0.6935,0.272,0.1532,0.093,0.1723,0.0,0.6887,0.4172,0.1472,0.5432,0.8014,0.0,59.0,12.0,45.0,65.0,24.0,39.0,85 %ile,65 %ile,42 %ile
